TimeStamp,Open,High,Low,Close,Volume,DataTime
1676924700000,24804.60,24827.20,24793.50,24813.50,725.453,2023-02-21 04:25:00
1676925000000,24813.50,24828.10,24781.00,24795.10,1193.051,2023-02-21 04:30:00
1676925300000,24795.00,24810.20,24790.20,24799.00,364.405,2023-02-21 04:35:00
1676925600000,24799.00,24820.10,24795.80,24802.60,472.145,2023-02-21 04:40:00
1676925900000,24802.50,24811.70,24774.00,24774.10,786.269,2023-02-21 04:45:00
1676926200000,24774.00,24829.40,24774.00,24823.60,831.811,2023-02-21 04:50:00
1676926500000,24823.50,24825.20,24807.20,24807.30,389.302,2023-02-21 04:55:00
1676926800000,24807.30,24814.60,24801.30,24814.00,366.740,2023-02-21 05:00:00
1676927100000,24814.10,24814.20,24761.50,24794.00,941.909,2023-02-21 05:05:00
1676927400000,24794.00,24799.10,24772.90,24798.50,321.738,2023-02-21 05:10:00
1676927700000,24798.50,24808.40,24792.20,24794.40,331.757,2023-02-21 05:15:00
1676928000000,24794.40,24798.40,24775.40,24776.90,547.751,2023-02-21 05:20:00
1676928300000,24776.90,24795.20,24765.00,24793.50,662.540,2023-02-21 05:25:00
1676928600000,24793.60,24793.60,24754.00,24775.60,872.119,2023-02-21 05:30:00
1676928900000,24775.60,24791.90,24773.30,24791.80,384.749,2023-02-21 05:35:00
1676929200000,24791.80,24832.90,24784.50,24832.90,974.418,2023-02-21 05:40:00
1676929500000,24832.80,24833.70,24770.90,24781.30,715.663,2023-02-21 05:45:00
1676929800000,24781.20,24803.60,24774.40,24783.50,368.252,2023-02-21 05:50:00
1676930100000,24783.60,24785.20,24768.80,24769.90,723.503,2023-02-21 05:55:00
1676930400000,24770.00,24784.40,24756.40,24766.10,866.880,2023-02-21 06:00:00
1676930700000,24766.10,24781.70,24754.50,24781.70,352.614,2023-02-21 06:05:00
1676931000000,24781.70,24781.70,24771.60,24774.40,252.287,2023-02-21 06:10:00
1676931300000,24774.50,24778.80,24751.70,24762.20,396.498,2023-02-21 06:15:00
1676931600000,24762.20,24762.20,24651.20,24748.20,4082.969,2023-02-21 06:20:00
1676931900000,24748.20,24748.30,24677.50,24695.10,1216.443,2023-02-21 06:25:00
1676932200000,24695.20,24740.20,24680.20,24740.10,1093.701,2023-02-21 06:30:00
1676932500000,24740.20,24750.80,24698.40,24702.00,819.797,2023-02-21 06:35:00
1676932800000,24702.00,24729.60,24701.00,24705.90,512.180,2023-02-21 06:40:00
1676933100000,24705.90,24725.00,24699.00,24724.90,469.647,2023-02-21 06:45:00
1676933400000,24725.00,24769.80,24724.90,24729.20,1011.630,2023-02-21 06:50:00
1676933700000,24729.30,24734.40,24693.40,24704.70,858.692,2023-02-21 06:55:00
1676934000000,24704.70,24750.00,24699.10,24734.10,752.881,2023-02-21 07:00:00
1676934300000,24734.20,24776.00,24729.10,24764.00,700.650,2023-02-21 07:05:00
1676934600000,24764.10,24825.30,24764.00,24825.20,2451.681,2023-02-21 07:10:00
1676934900000,24825.30,24830.00,24777.80,24795.20,783.564,2023-02-21 07:15:00
1676935200000,24795.20,24806.80,24780.00,24791.10,486.062,2023-02-21 07:20:00
1676935500000,24791.20,24810.90,24766.30,24795.00,471.328,2023-02-21 07:25:00
1676935800000,24795.00,24806.30,24765.40,24775.00,598.667,2023-02-21 07:30:00
1676936100000,24775.00,24787.10,24770.60,24779.40,367.065,2023-02-21 07:35:00
1676936400000,24779.50,24789.70,24776.10,24780.20,286.197,2023-02-21 07:40:00
1676936700000,24780.10,24804.10,24780.10,24800.60,733.044,2023-02-21 07:45:00
1676937000000,24800.60,24830.80,24800.50,24813.50,709.677,2023-02-21 07:50:00
1676937300000,24813.50,24857.70,24810.70,24849.90,1461.332,2023-02-21 07:55:00
1676937600000,24849.90,24859.20,24822.70,24822.70,1262.933,2023-02-21 08:00:00
1676937900000,24822.80,24839.80,24817.10,24823.50,609.704,2023-02-21 08:05:00
1676938200000,24823.60,24836.90,24793.20,24826.90,935.951,2023-02-21 08:10:00
1676938500000,24827.00,24831.20,24787.20,24789.10,766.858,2023-02-21 08:15:00
1676938800000,24789.20,24829.90,24789.10,24820.20,488.500,2023-02-21 08:20:00
1676939100000,24820.30,24820.30,24800.40,24819.00,359.211,2023-02-21 08:25:00
1676939400000,24819.10,24906.70,24817.80,24894.00,1977.605,2023-02-21 08:30:00
1676939700000,24894.00,24924.50,24881.00,24921.10,2183.521,2023-02-21 08:35:00
1676940000000,24921.20,24951.30,24890.10,24915.30,2167.463,2023-02-21 08:40:00
1676940300000,24915.30,24915.30,24882.70,24896.40,860.484,2023-02-21 08:45:00
1676940600000,24896.30,24899.30,24873.00,24886.00,500.788,2023-02-21 08:50:00
1676940900000,24885.90,24886.00,24851.80,24860.90,894.345,2023-02-21 08:55:00
1676941200000,24860.90,24876.10,24842.20,24844.70,877.043,2023-02-21 09:00:00
1676941500000,24844.60,24853.70,24826.80,24851.00,593.683,2023-02-21 09:05:00
1676941800000,24850.90,24864.80,24830.40,24858.70,603.768,2023-02-21 09:10:00
1676942100000,24858.80,24894.00,24824.60,24824.70,984.580,2023-02-21 09:15:00
1676942400000,24824.70,24845.50,24807.70,24838.00,813.209,2023-02-21 09:20:00
1676942700000,24838.00,24853.70,24818.30,24830.90,378.765,2023-02-21 09:25:00
1676943000000,24831.00,24845.50,24805.80,24827.00,749.951,2023-02-21 09:30:00
1676943300000,24827.00,24868.00,24826.90,24862.40,898.593,2023-02-21 09:35:00
1676943600000,24862.40,24884.60,24840.00,24871.20,869.509,2023-02-21 09:40:00
1676943900000,24871.20,24940.00,24870.00,24916.60,2520.350,2023-02-21 09:45:00
1676944200000,24916.70,24916.70,24890.10,24891.20,781.999,2023-02-21 09:50:00
1676944500000,24891.20,24891.30,24859.60,24870.00,657.531,2023-02-21 09:55:00
1676944800000,24869.90,24889.40,24861.30,24877.10,583.171,2023-02-21 10:00:00
1676945100000,24877.10,24910.00,24869.50,24895.50,952.822,2023-02-21 10:05:00
1676945400000,24895.60,24910.50,24894.10,24894.10,562.529,2023-02-21 10:10:00
1676945700000,24894.10,24920.90,24881.00,24901.40,1019.545,2023-02-21 10:15:00
1676946000000,24901.30,24910.00,24888.00,24900.00,552.025,2023-02-21 10:20:00
1676946300000,24900.10,24956.00,24900.00,24936.10,1871.128,2023-02-21 10:25:00
1676946600000,24936.10,25018.00,24932.30,25012.90,4978.115,2023-02-21 10:30:00
1676946900000,25012.90,25099.00,24964.80,25063.90,7008.959,2023-02-21 10:35:00
1676947200000,25063.90,25120.00,25009.70,25091.30,6821.008,2023-02-21 10:40:00
1676947500000,25091.30,25091.40,24998.70,25012.70,3261.081,2023-02-21 10:45:00
1676947800000,25012.70,25019.50,24967.80,24977.10,2542.945,2023-02-21 10:50:00
1676948100000,24977.10,24977.20,24888.80,24917.70,4248.047,2023-02-21 10:55:00
1676948400000,24917.60,24917.70,24853.00,24876.00,3360.099,2023-02-21 11:00:00
1676948700000,24876.00,24982.30,24871.20,24978.50,3230.856,2023-02-21 11:05:00
1676949000000,24978.40,24981.00,24930.50,24955.90,1444.678,2023-02-21 11:10:00
1676949300000,24955.90,24972.90,24911.60,24962.80,954.228,2023-02-21 11:15:00
1676949600000,24962.70,24996.20,24960.50,24989.60,1356.630,2023-02-21 11:20:00
1676949900000,24989.50,25010.00,24973.70,24983.50,1357.485,2023-02-21 11:25:00
1676950200000,24983.60,25019.00,24965.10,25000.10,1750.614,2023-02-21 11:30:00
1676950500000,25000.00,25000.10,24948.40,24950.00,1333.917,2023-02-21 11:35:00
1676950800000,24949.90,24960.00,24926.40,24933.70,1635.978,2023-02-21 11:40:00
1676951100000,24933.70,24955.60,24916.00,24923.50,699.945,2023-02-21 11:45:00
1676951400000,24923.50,24940.30,24914.50,24914.50,772.627,2023-02-21 11:50:00
1676951700000,24914.50,24942.40,24913.30,24926.20,645.091,2023-02-21 11:55:00
1676952000000,24926.20,24946.60,24911.90,24940.10,780.151,2023-02-21 12:00:00
1676952300000,24940.00,24940.10,24896.00,24901.30,1066.086,2023-02-21 12:05:00
1676952600000,24901.20,24915.10,24895.80,24905.20,566.348,2023-02-21 12:10:00
1676952900000,24905.30,24905.30,24864.90,24890.50,1311.694,2023-02-21 12:15:00
1676953200000,24890.50,24929.90,24885.40,24914.20,767.865,2023-02-21 12:20:00
1676953500000,24914.20,24929.20,24910.00,24929.20,433.203,2023-02-21 12:25:00
1676953800000,24929.10,24929.10,24889.00,24895.40,564.658,2023-02-21 12:30:00
1676954100000,24895.50,24895.50,24868.60,24868.60,818.715,2023-02-21 12:35:00
1676954400000,24868.70,24886.90,24855.20,24872.40,1135.842,2023-02-21 12:40:00
1676954700000,24872.50,24891.40,24860.40,24877.60,578.557,2023-02-21 12:45:00
1676955000000,24877.60,24908.00,24873.10,24897.00,596.857,2023-02-21 12:50:00
1676955300000,24897.00,24917.60,24895.00,24902.60,605.633,2023-02-21 12:55:00
1676955600000,24902.70,24905.70,24883.70,24896.90,495.374,2023-02-21 13:00:00
1676955900000,24896.90,24913.80,24893.90,24913.80,461.258,2023-02-21 13:05:00
1676956200000,24913.80,24915.60,24872.10,24883.90,611.104,2023-02-21 13:10:00
1676956500000,24884.00,24918.00,24876.90,24915.50,467.858,2023-02-21 13:15:00
