TimeStamp,Open,High,Low,Close,Volume,DataTime,ema7,ema25,ema50,ema144,ema169,dif,dea,macd,ao
1678724100000,24073.7,24138.6,24067.5,24082.7,3436.199,2023-03-14 00:15:00,,,,,,,,,
1678724400000,24082.7,24233.7,24050.0,24075.6,8643.107,2023-03-14 00:20:00,,,,,,,,,
1678724700000,24076.0,24079.9,23972.8,23985.2,7278.002,2023-03-14 00:25:00,,,,,,,,,
1678725000000,23985.3,24014.4,23777.0,23791.4,16298.72,2023-03-14 00:30:00,,,,,,,,,
1678725300000,23791.3,23966.6,23788.9,23912.4,9277.643,2023-03-14 00:35:00,,,,,,,,,
1678725600000,23912.5,24100.0,23887.8,24075.9,10090.064,2023-03-14 00:40:00,,,,,,,,,
1678725900000,24075.9,24094.3,23921.2,23986.0,6958.553,2023-03-14 00:45:00,23987.028571428567,,,,,,,,
1678726200000,23986.0,24057.0,23981.7,24043.4,4212.991,2023-03-14 00:50:00,24001.121428571427,,,,,,,,
1678726500000,24043.4,24048.8,23947.7,23982.9,3552.985,2023-03-14 00:55:00,23996.56607142857,,,,,,,,
1678726800000,23982.0,23997.5,23921.5,23937.2,4411.545,2023-03-14 01:00:00,23981.72455357143,,,,,,,,
1678727100000,23937.1,23948.0,23838.4,23943.4,5543.172,2023-03-14 01:05:00,23972.143415178572,,,,,,,,
1678727400000,23943.4,23953.4,23896.7,23930.9,2469.487,2023-03-14 01:10:00,23961.83256138393,,,,,,,,
1678727700000,23930.9,23988.8,23872.9,23978.6,3463.963,2023-03-14 01:15:00,23966.024421037946,,,,,,,,
1678728000000,23978.7,24017.8,23962.4,24009.7,3457.362,2023-03-14 01:20:00,23976.94331577846,,,,,,,,
1678728300000,24009.6,24015.0,23952.7,23994.8,2570.215,2023-03-14 01:25:00,23981.407486833843,,,,,,,,
1678728600000,23994.7,24081.5,23990.9,24056.6,3234.638,2023-03-14 01:30:00,24000.205615125382,,,,,,,,
1678728900000,24056.6,24138.9,24048.8,24097.8,6098.499,2023-03-14 01:35:00,24024.604211344034,,,,,,,,
1678729200000,24097.8,24180.0,24073.1,24163.6,5373.92,2023-03-14 01:40:00,24059.353158508027,,,,,,,,
1678729500000,24163.7,24194.8,24050.3,24066.6,4480.222,2023-03-14 01:45:00,24061.16486888102,,,,,,,,
1678729800000,24066.6,24132.7,24054.7,24109.7,1962.089,2023-03-14 01:50:00,24073.298651660763,,,,,,,,
1678730100000,24109.8,24172.0,24109.8,24135.7,3087.394,2023-03-14 01:55:00,24088.898988745572,,,,,,,,
1678730400000,24135.8,24307.8,24135.8,24178.4,9160.306,2023-03-14 02:00:00,24111.27424155918,,,,,,,,
1678730700000,24178.4,24180.2,24004.5,24094.2,6411.667,2023-03-14 02:05:00,24107.005681169383,,,,,,,,
1678731000000,24094.1,24186.0,24080.0,24137.1,3699.946,2023-03-14 02:10:00,24114.529260877036,,,,,,,,
1678731300000,24137.1,24177.3,24105.3,24126.2,2525.614,2023-03-14 02:15:00,24117.44694565778,24035.83999999999,,,,,,,
1678731600000,24126.3,24184.3,24106.2,24181.7,2323.703,2023-03-14 02:20:00,24133.510209243334,24047.05999999999,,,,,,,
1678731900000,24181.7,24218.0,24150.0,24172.3,2872.483,2023-03-14 02:25:00,24143.2076569325,24056.693846153838,,,,,,,
1678732200000,24172.4,24204.7,24166.6,24184.9,1417.594,2023-03-14 02:30:00,24153.630742699374,24066.555857988158,,,,,,,
1678732500000,24184.9,24198.6,24112.7,24136.7,2014.555,2023-03-14 02:35:00,24149.39805702453,24071.951561219837,,,,,,,
1678732800000,24136.8,24273.7,24109.2,24230.5,4250.199,2023-03-14 02:40:00,24169.673542768396,24084.147594972157,,,,,,,
1678733100000,24230.6,24252.6,24165.0,24228.7,2318.221,2023-03-14 02:45:00,24184.4301570763,24095.26701074353,,,,,,,
1678733400000,24228.6,24303.3,24223.3,24303.3,2883.932,2023-03-14 02:50:00,24214.147617807223,24111.26954837864,,,,,,,
1678733700000,24303.3,24350.0,24250.7,24291.3,4264.079,2023-03-14 02:55:00,24233.435713355415,24125.118044657207,,,,,,,
1678734000000,24291.3,24388.0,24288.0,24324.1,5780.705,2023-03-14 03:00:00,24256.10178501656,24140.424348914345,,,,83.26617212970086,72.42951134818537,10.83666078151549,188.83000000001266
1678734300000,24324.0,24437.9,24301.6,24301.6,6501.133,2023-03-14 03:05:00,24267.47633876242,24152.822475920933,,,,83.77711755118798,74.6990325887859,9.078084962402087,196.61176470589635
1678734600000,24301.6,24354.0,24247.4,24323.8,5570.285,2023-03-14 03:10:00,24281.557254071813,24165.974593157785,,,,84.99364610020348,76.75795529106941,8.23569080913407,208.33176470589387
1678734900000,24323.8,24335.0,24262.9,24268.3,2201.76,2023-03-14 03:15:00,24278.24294055386,24173.845778299496,,,,80.55082777136704,77.51652978712893,3.0342979842381084,193.00529411765456
1678735200000,24268.3,24272.1,24200.0,24218.2,4177.902,2023-03-14 03:20:00,24263.232205415396,24177.257641507225,,,,72.15544785251768,76.44431340020668,-4.288865547688999,165.83235294118276
1678735500000,24218.2,24233.6,24127.4,24189.7,4937.013,2023-03-14 03:25:00,24244.849154061547,24178.21474600667,,,,62.48208241350585,73.65186720286651,-11.169784789360662,130.79647058824412
1678735800000,24189.7,24248.5,24181.0,24222.3,3262.276,2023-03-14 03:30:00,24239.21186554616,24181.60591939077,,,,56.791758124669286,70.27984538722707,-13.488087262557784,110.63058823530446
1678736100000,24222.1,24237.5,24181.1,24216.3,2383.614,2023-03-14 03:35:00,24233.48389915962,24184.274694822252,,,,51.207694842818455,66.46541527834535,-15.257720435526892,82.35705882353795
1678736400000,24216.3,24350.4,24206.2,24304.3,4035.993,2023-03-14 03:40:00,24251.187924369715,24193.507410605154,,,,53.26909603404056,63.82615142948439,-10.557055395443832,81.88352941177436
1678736700000,24304.3,24333.1,24245.0,24287.0,2748.697,2023-03-14 03:45:00,24260.140943277285,24200.69914825091,,,,52.89704174187864,61.64032949196324,-8.743287750084605,86.69941176471548
