TimeStamp,Open,High,Low,Close,Volume,DataTime
1567900800000,10000,10412.65,10000,10391.63,3096.291,2019-09-08 08:00:00
1567987200000,10316.62,10475.54,10077.22,10307,14824.373,2019-09-09 08:00:00
1568073600000,10307,10382.97,9940.87,10102.02,9068.955,2019-09-10 08:00:00
1568160000000,10094.27,10293.11,9884.31,10159.55,10897.922,2019-09-11 08:00:00
1568246400000,10163.06,10450.13,10042.12,10415.13,15609.634,2019-09-12 08:00:00
1568332800000,10414.96,10440.55,10153.51,10341.34,19252.721,2019-09-13 08:00:00
1568419200000,10343.01,10419.97,10222.77,10332.25,20656.624,2019-09-14 08:00:00
1568505600000,10333.47,10359.20,10024.81,10302.22,20536.255,2019-09-15 08:00:00
1568592000000,10302,10353.81,10080.70,10249.27,20185.637,2019-09-16 08:00:00
1568678400000,10257.30,10270.63,10136.77,10186.52,22519.607,2019-09-17 08:00:00
1568764800000,10183.87,10256.65,10097.92,10155.16,20832.895,2019-09-18 08:00:00
1568851200000,10154.70,10331.62,9530.02,10245.30,26228.754,2019-09-19 08:00:00
1568937600000,10247.70,10279.30,10070.50,10166.35,23265.910,2019-09-20 08:00:00
1569024000000,10166.56,10175.30,9912.63,9983.33,23642.387,2019-09-21 08:00:00
1569110400000,9992.70,10089.52,9857,10023.04,23916.354,2019-09-22 08:00:00
1569196800000,10027.69,10046.91,9620,9701.96,31927.062,2019-09-23 08:00:00
1569283200000,8683.20,9792.83,8645.61,8645.61,29758.535,2019-09-24 08:00:00
1569369600000,8493.32,8725.24,8200,8430.07,48222.102,2019-09-25 08:00:00
1569456000000,8428.15,8464.40,7700.67,8060.15,60065.945,2019-09-26 08:00:00
1569542400000,8061.98,8260,7851.94,8176.52,40034.653,2019-09-27 08:00:00
1569628800000,8178.26,8311,8001.14,8195.38,33820.919,2019-09-28 08:00:00
1569715200000,8199,8226.35,7888.98,8041.96,35966.056,2019-09-29 08:00:00
1569801600000,8042.08,8331.89,7709.01,8285.84,54412.520,2019-09-30 08:00:00
1569888000000,8285.31,8499,8171,8290,39212.804,2019-10-01 08:00:00
1569974400000,8290,8365.92,8149.35,8352.14,30329.179,2019-10-02 08:00:00
1570060800000,8353.40,8386,8020,8220.27,33430.230,2019-10-03 08:00:00
1570147200000,8219.95,8227.42,7979.95,8130.56,28421.111,2019-10-04 08:00:00
1570233600000,8130,8175,8010,8122.14,30262.006,2019-10-05 08:00:00
